Firm ID,Year,Default,WC/TA,RE/TA,EBIT/TA,ME/TL,S/TA
1732,2019,0,0.3,-0.1,0.05,0.56,0.11
337,2013,0,0.49,-0.06,0.05,0.1,0.2
2389,2013,0,0.1,0.27,0.05,0.71,0.17
3108,2016,0,0.11,0.0,0.04,0.43,0.28
2807,2018,0,0.49,-0.05,0.01,1.2,0.13
2000,2020,0,0.37,-0.12,0.04,0.53,0.16
2392,2013,0,0.11,0.07,0.05,0.8,0.34
280,2013,0,0.41,0.24,0.0,0.29,0.1
2059,2018,0,0.06,-0.09,0.02,0.12,0.32
3279,2016,0,0.35,0.08,0.01,0.82,0.09
3617,2019,1,0.31,0.01,0.03,0.15,0.12
1907,2014,0,0.46,-0.06,0.02,0.59,0.21
1292,2013,0,0.06,0.13,0.03,0.68,0.34
1637,2018,0,-0.03,0.15,0.03,0.22,0.09
2031,2013,0,0.47,-0.03,0.0,1.07,0.17
3683,2014,1,0.24,-0.06,0.03,2.72,0.25
2739,2015,0,0.08,-0.12,0.01,0.26,0.08
3392,2018,0,0.05,0.16,0.05,0.79,0.11
488,2013,0,0.42,0.31,0.04,0.21,0.12
2615,2015,0,0.19,-0.1,0.01,0.19,0.09
3000,2013,0,0.17,0.16,0.04,0.93,0.32
3585,2014,1,0.35,-0.1,0.04,1.31,0.23
2224,2014,0,0.02,0.22,0.01,0.29,0.2
103,2012,0,0.16,-0.03,0.0,0.53,0.14
3980,2013,1,0.13,0.01,0.04,0.46,0.18
2030,2020,0,-0.05,0.32,0.0,0.52,0.12
1121,2015,0,0.09,0.05,0.04,0.82,0.24
1150,2012,0,0.54,-0.03,0.01,0.3,0.17
1741,2014,0,0.29,-0.08,0.05,0.37,0.22
1916,2012,0,0.49,0.32,0.05,0.23,0.13
3149,2015,0,0.51,0.3,0.05,0.37,0.24
778,2020,0,0.11,0.19,0.0,1.25,0.17
2697,2019,0,0.49,-0.02,0.04,1.06,0.15
3672,2019,1,0.12,0.0,0.03,2.19,0.26
574,2014,0,0.54,0.06,0.03,0.37,0.18
2829,2017,0,0.08,0.07,0.0,0.53,0.32
2199,2017,0,0.11,-0.01,0.04,0.93,0.26
1883,2012,0,0.29,0.01,0.02,0.37,0.12
2438,2017,0,0.37,0.06,0.0,1.1,0.25
149,2012,0,0.38,0.01,0.01,0.57,0.14
3729,2016,1,0.27,-0.02,0.04,0.22,0.21
1694,2013,0,0.17,-0.02,0.0,0.98,0.23
3341,2020,0,0.5,0.01,0.0,0.3,0.15
2881,2020,0,0.04,0.13,0.04,1.0,0.17
1768,2012,0,0.46,-0.07,0.02,0.94,0.16
3845,2012,1,0.14,0.06,0.04,0.59,0.28
931,2016,0,0.16,0.08,0.02,1.23,0.21
1250,2018,0,0.38,0.08,0.04,0.88,0.11
2243,2020,0,0.27,0.01,0.02,0.48,0.19
1400,2018,0,-0.02,0.09,0.0,0.32,0.25
1697,2018,0,0.21,0.27,0.01,0.17,0.32
1171,2013,0,-0.03,0.14,0.0,0.57,0.3
3381,2014,0,0.25,-0.07,0.02,0.82,0.33
1385,2017,0,0.43,0.1,0.02,0.21,0.22
536,2013,0,0.21,-0.11,0.04,0.97,0.28
3758,2017,1,0.27,0.06,0.04,1.67,0.24
1647,2017,0,0.15,0.3,0.04,1.22,0.3
691,2018,0,0.23,0.08,0.02,0.13,0.28
1213,2014,0,-0.06,0.19,0.04,0.79,0.27
577,2014,0,0.29,0.27,0.05,0.91,0.11
3528,2019,0,-0.01,0.21,0.01,0.81,0.1
2307,2016,0,0.45,-0.08,0.03,0.24,0.17
2256,2014,0,0.21,0.0,0.05,0.19,0.11
524,2014,0,-0.09,-0.07,0.03,1.05,0.13
3396,2016,0,0.43,0.18,0.03,0.73,0.12
2216,2017,0,-0.11,0.11,0.04,0.19,0.11
419,2012,0,0.28,-0.03,0.03,0.18,0.09
3319,2016,0,0.3,0.28,0.05,0.65,0.18
2775,2019,0,0.07,0.25,0.02,1.08,0.1
2810,2018,0,0.55,-0.09,0.03,0.34,0.26
1863,2017,0,0.18,0.1,0.03,0.9,0.3
1769,2018,0,0.47,0.29,0.03,0.49,0.31
2861,2016,0,-0.04,0.25,0.01,0.32,0.17
453,2014,0,0.35,0.32,0.03,0.77,0.11
1693,2013,0,0.18,0.15,0.05,1.19,0.09
1114,2020,0,0.52,0.3,0.05,1.09,0.22
3271,2016,0,0.21,0.14,0.02,0.85,0.31
783,2014,0,-0.05,-0.07,0.04,0.5,0.15
2494,2013,0,0.37,-0.07,0.05,0.74,0.14
3266,2014,0,0.17,0.13,0.0,0.5,0.21
1098,2016,0,0.2,0.19,0.05,1.23,0.15
2906,2017,0,0.09,0.18,0.02,1.1,0.33
117,2016,0,0.19,0.03,0.01,0.36,0.3
2140,2013,0,0.34,0.27,0.04,0.95,0.08
954,2017,0,0.41,0.13,0.02,0.26,0.12
2027,2017,0,0.42,0.03,0.05,0.56,0.34
3496,2019,0,0.3,-0.1,0.04,0.34,0.12
3351,2019,0,0.22,0.09,0.03,0.79,0.11
1445,2012,0,-0.06,0.07,0.02,0.56,0.29
3696,2015,1,0.28,0.02,0.04,1.38,0.2
2466,2014,0,0.45,-0.02,0.02,0.88,0.1
3591,2012,1,0.16,0.05,0.04,0.38,0.21
3444,2016,0,0.52,0.03,0.01,1.02,0.23
3040,2018,0,0.07,-0.02,0.04,0.72,0.15
2710,2014,0,0.2,0.06,0.0,1.21,0.24
2797,2013,0,0.17,0.14,0.05,0.93,0.34
2663,2018,0,0.02,-0.1,0.0,0.71,0.21
2601,2014,0,0.29,0.09,0.04,0.54,0.26
2032,2017,0,-0.1,0.08,0.03,0.63,0.15
1857,2012,0,0.53,0.16,0.03,0.53,0.32
749,2015,0,-0.05,0.05,0.01,1.05,0.28
3093,2013,0,0.27,0.13,0.05,0.45,0.3
1983,2015,0,-0.05,0.11,0.04,0.57,0.19
1791,2014,0,0.23,0.07,0.01,1.1,0.29
3440,2017,0,0.26,0.17,0.03,0.25,0.16
2414,2015,0,0.21,0.14,0.0,0.32,0.11
2994,2013,0,0.17,0.15,0.02,0.37,0.24
492,2014,0,0.32,0.09,0.01,0.76,0.23
2788,2018,0,0.37,-0.02,0.01,0.55,0.34
2244,2016,0,0.18,-0.03,0.05,0.94,0.19
573,2017,0,0.36,0.2,0.01,0.87,0.16
360,2019,0,0.42,0.24,0.04,0.75,0.16
3358,2020,0,0.11,0.26,0.01,0.27,0.31
2509,2013,0,-0.1,0.07,0.02,0.73,0.17
3320,2013,0,0.16,-0.03,0.01,0.2,0.19
2693,2018,0,0.42,0.12,0.05,0.94,0.14
3239,2018,0,0.28,0.3,0.05,0.39,0.19
3202,2018,0,-0.1,0.09,0.04,0.24,0.18
158,2014,0,0.17,0.09,0.03,0.2,0.3
3349,2019,0,0.22,0.11,0.02,0.27,0.17
3289,2015,0,0.49,-0.09,0.04,1.29,0.31
1788,2017,0,-0.07,0.03,0.05,1.27,0.11
497,2014,0,0.01,0.31,0.01,1.21,0.33
3220,2019,0,0.06,0.29,0.02,0.89,0.32
519,2019,0,0.5,0.29,0.05,0.79,0.14
2274,2016,0,0.29,-0.1,0.0,0.1,0.12
3081,2018,0,0.52,0.02,0.02,0.13,0.2
3300,2019,0,0.54,0.22,0.01,0.18,0.21
3241,2019,0,-0.01,0.26,0.04,0.99,0.29
1444,2018,0,0.51,0.18,0.03,0.65,0.12
705,2012,0,0.03,0.15,0.01,0.58,0.21
741,2016,0,-0.03,0.17,0.01,0.42,0.26
3837,2016,1,0.34,0.0,0.04,2.75,0.17
544,2015,0,0.01,0.04,0.01,0.32,0.22
596,2017,0,0.3,0.06,0.0,0.82,0.27
70,2015,0,0.39,0.06,0.05,1.14,0.2
2567,2012,0,-0.08,0.18,0.04,0.95,0.29
2021,2013,0,-0.08,0.05,0.03,1.29,0.29
745,2015,0,0.32,0.27,0.05,0.51,0.19
2629,2014,0,0.38,0.24,0.05,0.34,0.22
1261,2019,0,0.09,0.21,0.0,0.87,0.3
3743,2012,1,0.08,0.03,0.03,1.24,0.2
570,2014,0,-0.06,-0.08,0.04,1.09,0.22
1898,2013,0,0.32,-0.06,0.0,0.31,0.22
2758,2018,0,0.47,0.03,0.0,0.45,0.11
1530,2017,0,0.22,0.26,0.03,1.22,0.33
1556,2012,0,0.55,0.12,0.0,0.51,0.32
3335,2019,0,0.29,0.26,0.0,1.23,0.31
3882,2018,1,0.25,0.0,0.03,1.26,0.21
2541,2017,0,-0.11,-0.11,0.05,0.27,0.24
2831,2014,0,0.23,0.22,0.04,0.49,0.31
1631,2020,0,-0.01,0.05,0.0,0.68,0.16
3435,2017,0,0.03,-0.06,0.02,0.77,0.08
1260,2012,0,-0.03,0.2,0.05,0.7,0.34
777,2015,0,0.03,0.01,0.03,0.2,0.33
1084,2016,0,-0.05,-0.08,0.0,1.06,0.17
2546,2017,0,0.02,0.26,0.0,0.44,0.17
2198,2015,0,0.03,0.2,0.03,0.27,0.11
3327,2018,0,0.34,-0.07,0.02,0.34,0.13
1682,2017,0,0.32,0.15,0.03,1.21,0.19
3597,2017,1,0.23,0.03,0.03,0.9,0.16
3774,2020,1,0.18,-0.02,0.04,1.63,0.13
3561,2019,1,0.09,0.06,0.03,0.17,0.25
3592,2020,1,0.22,-0.04,0.04,2.27,0.13
751,2014,0,0.45,-0.1,0.0,0.43,0.24
3276,2020,0,0.33,0.3,0.02,0.76,0.12
3118,2015,0,0.3,0.02,0.0,0.62,0.2
2067,2014,0,0.27,0.01,0.05,0.55,0.33
1201,2013,0,0.31,-0.07,0.03,0.87,0.19
54,2016,0,0.39,0.0,0.02,0.12,0.33
3737,2014,1,0.2,-0.09,0.03,2.35,0.17
3535,2015,0,0.5,0.22,0.03,0.15,0.34
1075,2020,0,0.0,0.16,0.0,0.96,0.34
3607,2012,1,0.21,0.01,0.03,1.57,0.2
3566,2014,1,0.18,-0.03,0.04,0.8,0.13
3609,2017,1,0.09,0.05,0.03,0.89,0.14
2105,2014,0,0.3,0.03,0.0,1.14,0.34
3150,2016,0,0.23,0.17,0.02,0.21,0.17
1991,2015,0,0.06,0.23,0.04,0.64,0.15
1650,2019,0,0.25,0.28,0.04,0.59,0.27
1786,2012,0,0.22,-0.08,0.01,0.52,0.11
1624,2017,0,0.18,0.07,0.0,0.29,0.16
2766,2015,0,0.44,0.24,0.03,0.76,0.25
992,2018,0,-0.06,0.19,0.04,0.15,0.12
458,2016,0,0.54,-0.1,0.0,0.18,0.28
2871,2013,0,0.13,0.18,0.0,0.56,0.33
801,2018,0,0.25,-0.07,0.0,0.96,0.21
1083,2012,0,-0.05,0.06,0.05,1.29,0.15
3710,2012,1,0.28,-0.03,0.03,0.7,0.26
830,2015,0,0.0,0.31,0.04,0.95,0.33
1030,2013,0,0.4,0.1,0.02,1.29,0.18
1238,2014,0,0.48,0.09,0.04,1.19,0.2
2173,2018,0,0.35,0.18,0.03,0.63,0.23
3805,2017,1,0.26,0.02,0.03,3.2,0.21
1348,2013,0,0.41,-0.02,0.05,0.34,0.31
210,2020,0,0.15,0.22,0.02,0.49,0.21
1754,2014,0,0.54,-0.05,0.0,1.11,0.34
930,2012,0,0.09,0.3,0.03,0.93,0.24
1216,2012,0,0.34,-0.04,0.04,0.21,0.21
2898,2020,0,0.23,0.31,0.05,0.18,0.19
2117,2019,0,0.01,0.27,0.04,0.26,0.1
349,2015,0,0.26,-0.01,0.02,0.38,0.25
1488,2015,0,-0.07,0.14,0.01,0.36,0.18
599,2019,0,0.22,-0.11,0.05,1.23,0.23
3109,2016,0,0.34,0.27,0.04,0.84,0.34
1245,2019,0,0.48,0.13,0.04,0.3,0.13
3270,2018,0,0.03,0.04,0.03,0.63,0.2
400,2016,0,0.44,-0.02,0.03,0.81,0.22
1640,2016,0,-0.06,0.18,0.03,1.0,0.15
3397,2018,0,0.16,-0.07,0.04,0.46,0.09
1334,2020,0,0.32,0.11,0.03,1.0,0.31
837,2014,0,-0.06,0.09,0.01,0.72,0.22
3210,2016,0,0.51,0.07,0.01,0.82,0.26
2213,2019,0,0.23,-0.04,0.02,1.29,0.18
1839,2013,0,-0.01,0.31,0.05,0.4,0.33
3628,2014,1,0.24,0.03,0.04,0.26,0.14
2616,2012,0,0.28,-0.09,0.02,0.18,0.31
78,2019,0,-0.01,0.1,0.04,1.19,0.28
769,2014,0,0.32,0.22,0.0,1.23,0.2
1861,2020,0,0.29,0.2,0.04,1.27,0.19
1827,2019,0,0.14,0.14,0.01,0.41,0.34
2420,2017,0,0.04,0.19,0.05,0.26,0.12
1531,2016,0,0.0,0.19,0.0,0.38,0.15
332,2013,0,0.43,0.14,0.02,0.99,0.08
3626,2018,1,0.21,-0.08,0.03,0.25,0.13
3508,2019,0,0.54,0.08,0.0,0.26,0.22
1414,2016,0,0.34,0.08,0.0,0.27,0.24
348,2020,0,0.21,0.2,0.01,0.98,0.17
1160,2017,0,0.45,0.05,0.05,0.86,0.22
2234,2017,0,0.44,-0.02,0.01,0.17,0.23
1476,2016,0,-0.1,0.11,0.02,1.03,0.09
3145,2015,0,0.45,0.17,0.0,0.65,0.21
3762,2012,1,0.14,-0.1,0.03,2.54,0.24
1207,2019,0,-0.11,-0.04,0.04,0.8,0.32
3640,2019,1,0.11,0.03,0.04,2.93,0.24
104,2017,0,0.53,0.31,0.01,0.47,0.19
1657,2019,0,-0.09,0.18,0.05,0.69,0.11
719,2020,0,-0.1,-0.02,0.0,0.72,0.34
1053,2020,0,0.4,-0.06,0.02,1.26,0.17
540,2012,0,0.4,-0.07,0.01,0.17,0.21
3078,2013,0,0.46,0.22,0.04,1.08,0.24
65,2018,0,0.32,0.02,0.01,1.08,0.33
1302,2020,0,0.12,0.04,0.02,0.14,0.24
3627,2016,1,0.16,0.03,0.04,0.07,0.24
625,2019,0,-0.06,0.31,0.01,0.84,0.29
321,2017,0,0.3,0.2,0.04,0.59,0.31
1043,2013,0,0.5,0.07,0.01,0.74,0.16
3689,2020,1,0.35,-0.03,0.03,0.72,0.14
3608,2019,1,0.36,0.05,0.04,1.91,0.28
1802,2014,0,0.34,0.03,0.05,0.4,0.33
3734,2012,1,0.35,-0.07,0.04,0.43,0.15
565,2012,0,0.2,0.13,0.02,1.16,0.1
3818,2012,1,0.34,-0.1,0.03,1.4,0.2
1077,2018,0,-0.1,0.09,0.01,0.68,0.19
2262,2014,0,0.2,0.19,0.03,1.09,0.13
874,2017,0,0.25,0.09,0.02,0.23,0.21
1370,2019,0,0.13,0.28,0.0,0.08,0.16
1049,2016,0,0.05,-0.02,0.01,0.84,0.21
1003,2013,0,0.15,-0.01,0.05,0.1,0.1
887,2015,0,-0.06,0.05,0.05,0.11,0.24
1500,2019,0,0.1,0.26,0.04,0.47,0.34
1695,2017,0,-0.03,0.26,0.01,0.88,0.34
128,2012,0,0.28,-0.04,0.01,0.9,0.32
2572,2012,0,0.18,-0.09,0.01,0.18,0.28
991,2017,0,-0.11,0.09,0.05,0.22,0.29
1296,2019,0,0.23,-0.03,0.03,0.54,0.23
3861,2012,1,0.36,-0.1,0.04,0.22,0.23
601,2013,0,0.44,-0.02,0.05,0.51,0.31
917,2015,0,0.4,0.1,0.04,0.17,0.28
2028,2014,0,-0.11,0.09,0.03,0.88,0.26
1796,2014,0,-0.09,0.05,0.03,0.86,0.14
663,2019,0,0.05,0.23,0.03,0.49,0.2
1947,2014,0,0.33,0.07,0.02,0.53,0.27
3042,2012,0,0.19,0.03,0.0,1.25,0.09
2618,2017,0,0.29,0.21,0.01,1.18,0.17
3372,2018,0,0.4,0.31,0.03,0.91,0.33
1646,2014,0,0.21,0.08,0.05,1.06,0.16
3021,2013,0,0.03,0.02,0.0,0.71,0.32
2750,2017,0,0.06,-0.04,0.04,0.42,0.18
2464,2019,0,0.52,0.12,0.05,0.58,0.16
3250,2020,0,0.03,0.03,0.0,1.17,0.31
446,2020,0,0.16,0.28,0.05,0.78,0.33
3370,2014,0,0.01,0.1,0.0,0.11,0.3
1364,2012,0,0.16,0.26,0.04,0.59,0.25
1747,2014,0,0.24,0.3,0.04,0.98,0.08
2190,2017,0,0.3,0.16,0.01,0.87,0.15
548,2017,0,-0.09,0.16,0.0,0.73,0.13
2150,2018,0,0.1,-0.05,0.02,1.28,0.28
3567,2013,1,0.11,-0.02,0.03,0.92,0.23
3138,2012,0,-0.06,0.25,0.04,0.39,0.28
2569,2015,0,0.4,-0.06,0.0,0.57,0.08
3966,2016,1,0.1,0.05,0.03,3.01,0.17
942,2015,0,0.5,0.27,0.03,1.17,0.23
334,2019,0,-0.01,0.21,0.03,0.46,0.23
1223,2013,0,0.34,0.32,0.02,0.58,0.17
2904,2020,0,0.23,0.25,0.03,0.5,0.1
1818,2019,0,0.5,0.15,0.0,0.39,0.24
974,2018,0,-0.05,0.0,0.02,1.13,0.21
3976,2014,1,0.17,-0.08,0.04,0.33,0.22
2113,2018,0,-0.04,-0.07,0.01,0.85,0.25
1993,2020,0,0.4,0.12,0.05,1.16,0.24
1798,2017,0,0.21,0.12,0.03,0.38,0.23
2714,2014,0,0.07,0.01,0.04,0.27,0.33
653,2014,0,0.26,-0.02,0.01,1.12,0.14
1885,2018,0,0.01,-0.08,0.02,0.32,0.31
2549,2017,0,0.35,0.0,0.05,0.47,0.13
2658,2016,0,0.23,0.0,0.01,0.2,0.26
3982,2012,1,0.3,-0.1,0.03,0.4,0.13
2637,2018,0,0.42,0.3,0.0,1.0,0.16
3874,2015,1,0.29,0.06,0.04,1.59,0.24
3564,2013,1,0.36,0.03,0.03,1.04,0.13
468,2016,0,0.48,-0.08,0.04,0.33,0.21
1371,2020,0,0.46,0.16,0.03,0.28,0.1
1812,2018,0,0.32,0.02,0.03,1.22,0.22
1524,2012,0,-0.02,0.13,0.01,1.06,0.17
3881,2014,1,0.32,-0.1,0.03,2.8,0.18
3254,2012,0,-0.11,0.3,0.04,0.99,0.33
2481,2018,0,0.12,0.0,0.0,0.76,0.28
363,2020,0,-0.09,0.05,0.02,0.22,0.15
1435,2020,0,0.22,-0.1,0.0,0.7,0.13
436,2016,0,-0.03,0.05,0.05,1.11,0.1
3382,2020,0,-0.07,0.02,0.03,0.6,0.18
3085,2019,0,0.25,0.05,0.05,0.77,0.11
2664,2018,0,-0.02,0.04,0.04,1.13,0.33
385,2014,0,0.21,0.31,0.04,0.13,0.12
3549,2019,0,0.02,-0.11,0.05,0.1,0.27
1455,2018,0,-0.11,0.12,0.01,0.96,0.11
2426,2015,0,0.32,-0.12,0.05,0.1,0.19
3949,2018,1,0.2,0.03,0.03,2.45,0.19
850,2012,0,0.52,0.05,0.02,0.38,0.22
198,2015,0,0.36,-0.04,0.01,0.52,0.23
2298,2019,0,0.32,-0.04,0.02,0.64,0.09
2252,2017,0,0.08,0.3,0.04,0.83,0.24
2388,2017,0,0.51,0.3,0.03,0.8,0.24
2560,2020,0,0.0,0.12,0.04,0.53,0.31
2268,2012,0,0.53,0.12,0.04,0.19,0.34
364,2013,0,0.51,0.24,0.01,1.26,0.28
2825,2015,0,0.05,-0.01,0.01,0.58,0.34
1895,2017,0,0.54,0.31,0.01,0.14,0.29
1711,2016,0,-0.09,0.0,0.0,0.19,0.17
1225,2015,0,0.3,-0.09,0.03,1.27,0.08
3701,2015,1,0.13,-0.1,0.04,0.83,0.22
764,2017,0,-0.07,0.2,0.01,1.27,0.25
1365,2012,0,0.31,0.17,0.04,0.24,0.22
1734,2016,0,0.48,0.0,0.01,1.04,0.32
604,2018,0,0.4,-0.05,0.04,1.08,0.25
854,2018,0,0.27,0.07,0.05,0.26,0.08
2350,2012,0,0.11,-0.06,0.03,1.13,0.26
1278,2014,0,0.37,-0.02,0.03,1.0,0.19
3090,2016,0,0.2,0.04,0.03,1.15,0.15
86,2019,0,0.5,-0.1,0.0,0.87,0.24
1149,2014,0,-0.06,0.05,0.01,0.61,0.28
3817,2015,1,0.09,-0.11,0.04,1.44,0.13
2266,2012,0,-0.07,0.15,0.03,0.83,0.32
1018,2014,0,0.48,0.27,0.02,1.03,0.14
2397,2014,0,0.15,0.28,0.02,0.99,0.21
3135,2017,0,0.42,0.31,0.01,1.08,0.22
3526,2018,0,0.28,0.0,0.04,0.6,0.13
152,2017,0,0.35,-0.03,0.01,0.4,0.22
3560,2020,1,0.25,-0.09,0.03,2.05,0.17
586,2012,0,0.27,0.14,0.03,1.0,0.3
2390,2019,0,0.02,0.23,0.04,0.15,0.27
3039,2012,0,0.45,-0.09,0.0,0.46,0.31
132,2015,0,0.43,-0.05,0.05,0.92,0.26
594,2016,0,0.06,-0.04,0.0,1.03,0.32
1424,2014,0,0.26,0.16,0.01,1.16,0.21
1390,2016,0,0.02,0.04,0.02,1.14,0.23
723,2013,0,0.39,0.01,0.01,0.23,0.09
1242,2018,0,-0.11,-0.11,0.04,0.35,0.18
312,2017,0,-0.04,0.1,0.0,0.33,0.1
1281,2017,0,0.31,0.04,0.0,0.48,0.33
1395,2015,0,0.34,0.01,0.02,0.22,0.19
3622,2015,1,0.08,-0.1,0.04,0.5,0.2
303,2020,0,0.25,0.3,0.01,0.65,0.31
1080,2016,0,0.29,0.26,0.04,1.1,0.09
1702,2016,0,0.01,0.0,0.05,1.28,0.24
768,2017,0,0.44,0.16,0.02,1.29,0.11
1845,2014,0,0.22,0.08,0.04,0.84,0.11
3378,2018,0,0.49,0.26,0.01,0.18,0.19
2896,2015,0,0.06,-0.08,0.05,1.0,0.3
3028,2018,0,0.43,0.03,0.04,0.58,0.19
2063,2019,0,-0.06,0.23,0.02,0.87,0.19
3158,2019,0,0.12,0.28,0.0,0.61,0.25
2006,2015,0,0.49,-0.05,0.03,0.44,0.19
21,2012,0,-0.09,-0.12,0.04,0.19,0.15
687,2013,0,0.05,0.16,0.03,0.8,0.11
1039,2019,0,0.36,-0.06,0.03,0.57,0.25
1093,2020,0,0.32,0.2,0.03,1.12,0.13
3155,2020,0,-0.04,0.27,0.03,0.68,0.23
1704,2012,0,0.18,0.11,0.02,0.43,0.27
3331,2013,0,0.17,0.1,0.01,0.98,0.16
2949,2014,0,0.2,0.1,0.0,0.83,0.09
2542,2013,0,-0.07,0.17,0.05,1.27,0.25
2400,2015,0,0.32,0.01,0.03,0.52,0.09
1262,2018,0,0.45,0.2,0.04,0.63,0.26
82,2015,0,0.18,-0.1,0.01,0.3,0.16
1029,2016,0,0.44,0.15,0.03,1.2,0.29
1785,2015,0,0.11,0.12,0.05,0.97,0.19
3994,2019,1,0.21,-0.09,0.04,2.88,0.21
3389,2012,0,0.39,-0.04,0.0,0.88,0.25
1595,2014,0,0.24,-0.09,0.02,0.64,0.24
1673,2017,0,0.42,-0.09,0.03,0.53,0.19
17,2020,0,0.45,0.1,0.04,0.92,0.22
380,2018,0,0.44,-0.04,0.02,0.46,0.1
3848,2018,1,0.14,0.0,0.04,1.0,0.21
588,2013,0,0.47,0.14,0.05,0.27,0.22
3357,2015,0,0.35,0.12,0.04,0.44,0.3
3815,2017,1,0.19,0.01,0.04,2.99,0.21
2454,2018,0,0.23,0.26,0.0,1.24,0.27
2814,2012,0,0.2,0.1,0.02,1.15,0.33
3431,2020,0,0.07,0.01,0.03,0.25,0.22
624,2017,0,0.06,0.31,0.01,1.17,0.16
1836,2016,0,0.05,0.19,0.05,1.0,0.25
3999,2013,1,0.21,0.05,0.04,0.88,0.28
1376,2016,0,0.27,0.22,0.02,0.94,0.12
1925,2020,0,0.27,0.29,0.05,0.2,0.13
1763,2015,0,0.14,0.18,0.05,0.35,0.1
166,2017,0,0.14,0.09,0.05,0.42,0.16
3070,2016,0,-0.05,-0.08,0.0,0.64,0.12
3657,2019,1,0.22,0.05,0.04,0.51,0.14
2945,2014,0,0.04,0.23,0.01,0.48,0.17
3940,2013,1,0.2,-0.07,0.04,1.95,0.19
1765,2020,0,0.42,0.27,0.0,0.24,0.33
918,2016,0,0.53,0.32,0.02,0.83,0.27
3812,2013,1,0.28,-0.11,0.03,1.57,0.23
5,2019,0,0.46,-0.07,0.01,1.16,0.2
3747,2018,1,0.17,-0.05,0.03,0.39,0.22
1759,2020,0,0.11,0.12,0.01,0.2,0.18
706,2013,0,-0.08,0.2,0.04,0.98,0.34
55,2016,0,0.4,0.27,0.01,0.88,0.19
2668,2015,0,0.38,0.27,0.01,1.15,0.22
3811,2013,1,0.23,0.03,0.03,0.66,0.13
3188,2015,0,0.3,0.09,0.01,0.46,0.34
3823,2019,1,0.3,-0.07,0.04,1.67,0.13
2318,2016,0,0.34,0.18,0.05,0.8,0.13
3277,2016,0,0.53,0.1,0.05,0.89,0.3
1610,2014,0,0.41,-0.01,0.04,0.69,0.2
3227,2020,0,0.26,0.28,0.05,0.33,0.18
3859,2019,1,0.1,0.0,0.03,2.49,0.13
906,2013,0,0.48,0.17,0.01,0.15,0.12
2573,2016,0,0.02,0.22,0.02,0.31,0.13
1960,2012,0,0.2,-0.02,0.03,0.6,0.16
2507,2017,0,0.49,-0.01,0.04,1.28,0.09
39,2015,0,0.51,-0.04,0.01,1.21,0.34
3875,2013,1,0.11,-0.08,0.03,1.9,0.16
2407,2019,0,0.34,-0.12,0.04,0.58,0.09
3606,2016,1,0.16,0.0,0.03,1.49,0.28
24,2020,0,0.37,-0.01,0.03,0.14,0.31
2625,2014,0,-0.01,0.1,0.01,0.58,0.25
347,2013,0,0.33,0.14,0.01,0.82,0.08
1854,2015,0,0.36,-0.01,0.0,0.66,0.3
1014,2017,0,-0.1,0.27,0.0,0.79,0.11
1718,2020,0,0.21,0.19,0.02,0.63,0.28
1516,2019,0,0.18,0.19,0.02,0.93,0.24
2979,2014,0,0.35,0.06,0.04,0.48,0.33
2297,2017,0,-0.06,0.32,0.02,0.6,0.28
2931,2020,0,0.08,-0.07,0.01,0.28,0.13
3902,2017,1,0.33,0.02,0.03,1.46,0.17
3864,2019,1,0.1,-0.05,0.03,0.1,0.27
162,2019,0,0.32,0.08,0.02,0.99,0.27
361,2017,0,-0.06,-0.02,0.02,0.58,0.21
523,2013,0,0.16,0.02,0.0,0.67,0.25
638,2019,0,0.02,0.0,0.05,0.45,0.18
3374,2016,0,0.01,-0.05,0.04,0.73,0.1
1523,2013,0,0.18,0.08,0.03,0.58,0.28
2850,2012,0,0.36,0.08,0.01,0.48,0.11
2301,2012,0,0.33,0.21,0.04,1.08,0.12
1230,2020,0,0.35,0.0,0.02,0.97,0.21
297,2016,0,-0.11,0.27,0.03,0.34,0.28
3541,2019,0,0.14,0.08,0.0,0.23,0.08
58,2019,0,-0.05,0.17,0.03,0.2,0.08
3569,2018,1,0.11,-0.06,0.03,2.72,0.26
333,2017,0,-0.1,0.32,0.03,0.35,0.25
3677,2015,1,0.28,-0.05,0.03,3.09,0.15
2217,2018,0,0.43,-0.02,0.03,1.0,0.09
3225,2019,0,0.18,0.14,0.0,0.71,0.22
443,2019,0,0.01,0.3,0.04,0.74,0.28
1581,2013,0,0.34,0.25,0.01,0.35,0.22
2539,2012,0,-0.04,0.14,0.05,1.13,0.24
766,2012,0,-0.06,0.08,0.03,0.45,0.09
2133,2019,0,0.54,0.31,0.01,0.69,0.25
3634,2013,1,0.26,-0.06,0.04,1.78,0.28
1498,2013,0,0.0,0.21,0.0,0.47,0.3
1477,2012,0,0.21,0.1,0.0,0.59,0.22
3147,2017,0,0.33,0.1,0.05,0.59,0.11
3438,2019,0,0.54,-0.03,0.01,0.91,0.11
1740,2012,0,0.18,-0.09,0.0,0.14,0.31
10,2015,0,0.16,0.06,0.05,0.55,0.31
1719,2012,0,0.41,0.24,0.05,0.4,0.2
247,2020,0,0.07,0.27,0.01,1.28,0.13
3491,2013,0,0.26,0.27,0.04,0.44,0.18
1425,2015,0,0.02,0.25,0.05,0.51,0.3
2287,2020,0,-0.01,0.03,0.05,0.79,0.18
2751,2015,0,0.28,0.18,0.0,0.21,0.28
